pos,change,title,days,peak,streams,total,artistIds
88,-28,HANRORO - You and I,14,38,16656,257977,5wVJpXzuKV6Xj7Yhsf2uYx
89,+24,Yoon Do Hyun - I Guess I Loved You,1093,51,16583,8900479,6KsmQPHXE3qhzNNBPSZ0eB
90,+35,NewJeans - Super Shy,996,1,16490,15469917,6HvZYsbFfjnjFrWF950C9d
91,+41,Woody - Sadder Than Yesterday,240,69,16461,2577858,37ZY7eIcTT28id2jfq8WYw
92,=,BTS - Body to Body,125,2,16457,4677463,3Nrfpe0tUJi4K4DXYWgMUX
93,-3,The Kid LAROI - Stay (w/ Justin Bieber ),1475,1,16414,12524771,2tIP7SsRs7vjIcLrU85W8J;1uNFoZAHBGtllmzznpCI3s
94,-24,NELL - The time of walking on remembrance,36,62,16413,464191,5WY88tCMFA6J6vqSN3MmDZ
95,+19,NewJeans - New Jeans,1084,3,16379,14097529,6HvZYsbFfjnjFrWF950C9d
96,-10,Kenshi Yonezu - Lemon,1360,25,16360,11609943,1snhtMLeb2DYoMOcVbb8iB
97,-13,Lim Young Woong - ULSSIGU,328,20,16228,6374379,75MOYjGEyyH5U4ZFHOPvxR
98,+4,Lim Young Woong - Unread Message,328,26,16206,5990636,75MOYjGEyyH5U4ZFHOPvxR
99,-1,Ed Sheeran - Shape of You,931,77,16143,6566308,6eUKZXaKkcviH0Ku9w2n3V
100,-3,fromis_9 - Supersonic,661,10,16118,10056258,24nUVBIlCGi4twz4nYxJum
101,+47,NewJeans - OMG,1273,1,16114,19839494,6HvZYsbFfjnjFrWF950C9d
102,+17,BUMJIN - A Letter,903,33,15878,9984960,3vljSA6N2aSE8U3OhNFkPy
103,+9,"Car, the garden - Closely Far Away",683,11,15833,10787079,7c1HgFDe8ogy5NOZ1ANCJQ
104,+1,Lim Young Woong - Heavenly Ever After,465,9,15819,9408327,75MOYjGEyyH5U4ZFHOPvxR
105,+76,george - Boat,510,49,15771,4629725,2pRZp2WxvnWWiSPcSSYkNV
106,+21,Shawn Mendes - There's Nothing Holdin' Me Back,416,92,15717,2790661,7n2wHs1TKAczGzO7Dd2rGr
107,+60,San E - A midsummer night's sweetness (w/ Raina ),7,107,15659,88205,61MMiylth1injW39oZBuYB;21dQ70DS91icGLN9J4mH7h
108,+1,IVE - BANG BANG,163,3,15551,4617181,6RHTUrRF63xao58xh9FXYJ
109,-3,Geeks - Officially Missing You,668,61,15521,7410506,5VxfguafjfSdJcN10ACVZe
110,-19,Sung Si Kyung - Michide -On The Road-,241,51,15491,3372145,7jFUYMpMUBDL4JQtMZ5ilc
111,+17,HYUKOH - TOMBOY,779,39,15462,8479979,57okaLdCtv3nVBSn5otJkp
112,-19,Izi - 응급실,494,51,15392,5588821,4PPkRMbw2jIs7flJkl4okf
113,+39,NewJeans - ETA,983,2,15314,13256661,6HvZYsbFfjnjFrWF950C9d
114,-14,"Car, the garden - My whole world",201,3,15129,5571452,7c1HgFDe8ogy5NOZ1ANCJQ
115,-19,The Black Skirts - Antifreeze,203,83,15091,2633847,6WeDO4GynFmK4OxwkBzMW8
116,+40,Zion.T - No Make Up,461,65,15053,5381179,5HenzRvMtSrgtvU16XAoby
117,-1,BTS - 2.0,125,8,14940,3866259,3Nrfpe0tUJi4K4DXYWgMUX
118,-19,YEONJUN - Ice Cream,12,63,14936,187906,2Mo2yHjmrDRZW7yRuJwR2w
119,+39,Lim Hyun Jung - 사랑은 봄비처럼...이별은 겨울비처럼,188,18,14771,3225895,7qUALZhWSQIwqTw1auwwCc
120,-10,BTS - Come Over,41,13,14696,973919,3Nrfpe0tUJi4K4DXYWgMUX
121,-1,Beenzino - Aqua Man,126,61,14648,1722001,7IrDIIq3j04exsiF3Z7CPg
122,+20,BUZZ - 가시,420,80,14636,4353379,4SdXXEHKFa5NSoh10QxeN2
123,-15,Dynamicduo - Guilty,293,83,14622,3216169,4nvFFLtv7ZqoTr83387uK4
124,+13,Taylor Swift - Cruel Summer,1019,22,14571,10712639,06HL4z0CvFAxyc27GXpf02
125,+26,LEE MU JIN - Coming Of Age Story,417,66,14531,4559884,4Xj0peBt3EZHbdF20JmdWC
126,+13,G-DRAGON - CROOKED,626,21,14477,9263724,30b9WulBM8sFuBo17nNq9c
127,-24,"LE SSERAFIM - ICONIC BY MISTAKE (w/ ILLIT , KATSEYE )",41,20,14476,945927,4SpbR6yFEvexJuaBpgAU5p;36cgvBn0aadzOijnjjwqMN;3c0gDdb9lhnHGFtP4prQpn
128,-10,"Car, the garden - 나무",475,47,14439,4805017,7c1HgFDe8ogy5NOZ1ANCJQ
129,-6,Justin Bieber - Love Yourself,1693,33,14431,8610018,1uNFoZAHBGtllmzznpCI3s
130,+6,Yuuri - ベテルギウス,1191,18,14395,10415720,0ixzjrK1wkN2zWBXt3VW3W
131,+4,Block B - HER,36,106,14395,414869,4RnezwRV7VBJUCI1S0AE5u
132,-55,"HEEDAE - Licking the Sky (w/ C JAMM , BlackNut )",5,45,14323,96189,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
133,-12,Lim Young Woong - Left in the Rain,328,30,14275,5735172,75MOYjGEyyH5U4ZFHOPvxR
134,-30,Lim Young Woong - Wild flower,327,34,14261,5690561,75MOYjGEyyH5U4ZFHOPvxR
135,-28,The Black Skirts - EVERYTHING,1234,81,14214,8808644,6WeDO4GynFmK4OxwkBzMW8
136,+52,BTS - Dynamite,1237,1,14155,7313254,3Nrfpe0tUJi4K4DXYWgMUX
137,-11,Choi Yu Ree - When I stop thinking,25,122,14089,321614,6qvVoPGEqNCyYSjYCgfV1v
138,-9,HWASA - Good Goodbye,223,4,14064,4610370,7bmYpVgQub656uNTu6qGNQ
139,+31,Leellamarz - Trip (w/ Hannah ),386,90,14058,3004025,79g2STpP2iV1xfgHuhrhX0;2XHuhBOiADOIR91vFkNq6Q
140,+35,NewJeans - Bubble Gum,510,3,13959,7477454,6HvZYsbFfjnjFrWF950C9d
141,-10,CORTIS - TNT,80,25,13862,1597949,1ebt9HnXdyYA6KgLXr1n4P
142,-9,M.Sasuke - GG EZ,27,56,13852,430573,75t1r7Dnlz4EDc1Dn7Yqtd
143,+3,BLACKPINK - JUMP,377,2,13841,11073548,41MozSoPIsD1dJM0CLPjZF
144,-50,"HEEDAE - Ouch My Pain (w/ C JAMM , BlackNut )",5,41,13833,97983,6J4oB6UcxVwsI6jmjmeMGA;2ZT3bnHPOdErwCLdP5aHqR;0T8sqjCB5w57zxvW5lp3qJ
145,+35,Loco - Spring Is Gone by chance (w/ YUJU ),181,31,13719,2433670,2e4G04F77jxVuDYo44TCSm;7Bu0r4MCDX3sbhcFD5IXyx
146,+7,Jung Kook - Still With You,655,8,13713,6173418,6HaGTQPmzraVmaVxvz6EUc
147,-7,Jung Kook - Standing Next to You,992,3,13695,27021689,6HaGTQPmzraVmaVxvz6EUc
148,-4,BTS - Hooligan,125,3,13666,3653254,3Nrfpe0tUJi4K4DXYWgMUX
149,-27,wave to earth - love.,264,107,13575,2448221,5069JTmv5ZDyPeZaCCXiCg
150,+10,Loco - Say Yes (w/ Punch ),402,61,13567,4471165,2e4G04F77jxVuDYo44TCSm;2FgZrgTMX6Sk0VNcOsEPmm
151,-27,Lim Young Woong - Melody for You,327,35,13551,5513361,75MOYjGEyyH5U4ZFHOPvxR
152,-2,BOYNEXTDOOR - VIRAL,45,14,13520,1154596,4hnHLgMSOiqERWBL4jINP1
153,+6,LEECHANGSUB - Heavenly fate,735,82,13434,6360143,1rp5HzWaNwgauM5W5YmZ3U
154,RE,Baek A - Amor,1151,16,13402,8532935,5rHUhS9Ya0S63WI9LFmCSx
155,-17,d4vd - Here With Me,1266,23,13376,12392815,5y8tKLUfMvliMe8IKamR32
156,-13,Lim Young Woong - Wonderful Life,327,35,13370,5455004,75MOYjGEyyH5U4ZFHOPvxR
157,-23,HAON - Skrr (w/ GISELLE ),487,23,13368,5941935,2krUNMgFZYm5s4Nn0g91W9;2P1id80CMwR5R5cwcyIIAi
158,+14,DELISPICE - 고백,144,93,13303,1595715,3zH8Xu8C1GnnmfpBqzdLPf
159,-4,DEAN - instagram,1252,60,13299,6521691,3eCd0TZrBPm2n9cDG6yWfF
160,-43,JANNABI - Baby I need you,230,36,13180,1413978,2SY6OktZyMLdOnscX3DCyS
161,+22,Lim Young Woong - I’m HERO,324,36,13177,5185555,75MOYjGEyyH5U4ZFHOPvxR
162,-5,DPR LIVE - Jasmine,442,102,13130,2264401,0siBQaURCli5wn2lqv8WZg
163,-9,The Weeknd - Blinding Lights,1069,6,13124,4345967,1Xyo4u8uXC1ZmMpatF05PJ
164,+7,Jung Seung Hwan - The Snowman,256,21,13070,4027807,7l8rOFwZFQ3G0sgZ7gjGng
165,-2,The Weeknd - Die For You,1251,34,13051,8151411,1Xyo4u8uXC1ZmMpatF05PJ
166,-5,OVAN - Flower,111,73,13031,1153067,4FuRHFtCeoYaeeVDKyyvbS
167,+1,"Paul Kim - Every day, Every Moment",532,62,13021,4134907,4qRXrzUmdy3p33lgvJEzdv
168,-23,ZICO - actually,16,119,13018,211411,4XpUIb8uuNlIWVKmgKZXC0
169,+5,"Lim Young Woong - I’m sorry, But…",325,38,13017,5218630,75MOYjGEyyH5U4ZFHOPvxR
